ID,Alive,Protected
@a3650918,True,False
@aDlGZbnJoJzjqvK,True,False
@a_jiaran,True,True
@a_sharlock,True,False
@aaa_awda,True,False
@aaaaaaa45254476,False,False
@abnamro1,True,False
@aimershido2,False,False
@aisakasatou,True,False
@akuiyayo,False,False
@albiflora_medi,True,False
@alt42523620,False,False
@alukeler,True,False
@alziun,False,False
@amakata00,True,False
@amakirikyoya,True,False
@amanoumi_becky,True,False
@americansdog,True,False
@angieeuiiii,False,False
@animus0000,True,False
@anrimayu3,False,False
@anyamelflssa,True,False
@argon04742951,True,False
@arturggp44,True,False
@bajiao314159,True,False
@banishfour,True,False
@banishtwo,False,False
@begum_madison,False,False
@bfy2331,True,False
@biHyZ4NjO7QWFNQ,True,False
@bicfozgw,True,False
@bishi_bilibili,True,False
@bivens_jasmine,False,False
@blackwargerymon,True,False
@bumbdm037108,True,False
@cHRISTlaiwanzhu,True,False
@cen1919810,True,False
@chastity_evlf,False,False
@chinksslayer2,True,False
@chinksslayer3,True,False
@chouyoudayo,False,False
@cldajp1,False,False
@cldajq1,False,False
@cnandycnandy,False,False
@coco_coco_aaaaa,True,False
@coco_love_893,True,False
@cocogaccchi,True,False
@cocoloveg,False,False
@cocomdr_77,False,False
@corrupted_onion,True,False
@cover_corp_hog,False,False
@coverlese,False,False
@cre_wei,True,False
@crowdmedi,True,False
@cuei72229567,True,False
@cyta110,True,False
@cyzx11,True,False
@daibaodayo,False,False
@daidai_xiweimi,True,False
@dark_yyds,True,False
@darkadd3,False,False
@darkadd4,False,False
@darkadd4396,False,False
@dasongsdog,True,False
@debuki10,True,False
@debukisuki,False,False
@departurelock,True,False
@dickhea05838886,True,False
@dindindon41,False,False
@dlUPhyIaUSUIkbJ,True,False
@don_taskmyname,False,False
@dragon_coco0823,False,False
@dragon_coco0825,True,False
@dragoncoco0822,True,False
@dragoncoco_0822,True,False
@duojiulaizheeee,False,False
@dzpoi1,True,False
@elne12138,True,False
@emerson_lemay,True,False
@ernstohlmer,False,False
@eve_newton,True,False
@ewl11coLO26Njhg,False,False
@fake_medi,True,False
@fanqu06,True,False
@fbyp4U0mggBb7xV,True,False
@forum_hard_use,True,False
@fruitstradePig,True,False
@fruitstradePigs,True,False
@fuakanabs,False,False
@gVd3DcLqGaz80k6,True,False
@gaogedaxinwen,True,False
@geidianlixingma,True,False
@ghMxQVVTVacQgnY,True,False
@gislason_rae,False,False
@goddog316,True,False
@guanchenglinrz,False,False
@hPJLGmDzwiwYNBr,True,False
@hRlcc7YV8a7X1Vd,True,False
@hU30bB9OJ3YzYke,True,False
@ha_summer_dog,True,False
@happyobito,True,False
@haru_nvrlf,True,False
@hfhhduhhdff,True,False
@hoIolivebIoom,True,False
@holoIivebIoom,True,False
@holoiivebioom,False,False
@hongjini1,False,False
@huhusdsd2313,False,False
@huoshao_xisi,False,False
@indoor71907630,True,False
@j_p_meme,True,False
@j_pmeme_,True,False
@ja8Zewjlt89Atbs,False,False
@jason52119O29,False,False
@jennife59685739?s=21,False,False
@jessica50964298,False,False
@jiesejiang,True,False
@jinyueyuanchuan,True,False
@jnewst7,True,False
@johNnieWaIkeR_3,True,False
@joker10086111,False,False
@joker1008613,True,False
@kAQCt6CwLe8tevW,True,False
@kaichouLOVE986,True,False
@kaichouLOVE990,True,True
@kaichoulove986,False,False
@karupis64136118,True,False
@kenshiy88,True,False
@khaaneph,True,False
@kiki92373860,True,False
@kiryucoco2313,True,False
@kiryucocofood,True,False
@kiryuhongzhi,False,False
@kiryukiryuembas,True,False
@kiryukok0,True,False
@kiryumiaoyi,False,False
@kiyoushimo19,True,False
@kmzcy1,True,False
@kokuryuuhabot,True,False
@kou__tatunoko,False,False
@ksongachi5,True,False
@kuakua184,False,False
@kukuriyagoobot,False,False
@kureijioIIie,True,False
@lTou_Mak0t0,True,False
@l_parpot,True,False
@lane_mio,True,False
@laosirP,True,False
@lbwnb1237,False,False
@lbwnb1238,False,False
@lbwnpv00,False,False
@lbwnpv01,False,False
@lbwnpv03,True,False
@lbwnpv04,False,False
@le__croissant,True,False
@lieyukou450bc,True,False
@liganssssss,False,False
@light_the_kira,False,False
@lingwulukong114,False,False
@litangdingzhen2,True,False
@liz_penegar,True,False
@lot12111,True,False
@lov3fiora,True,True
@lust_medi,True,False
@mamYOcq78f8nDJB,True,False
@maomao2233,True,False
@markli55381706,True,False
@mars7511o,True,False
@mayoinekodesu,False,False
@mayouyayo,False,False
@mdrcocogachi7,True,False
@mediriko,True,False
@miaomiaodayo,False,False
@mirai__evlf,False,False
@mirai_evlf,True,False
@miuko7744,False,False
@miuko77441,True,False
@miyuI989,False,False
